employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score
19518,Sales & Marketing,region_2,Bachelor's,f,other,2,45,3.0,17,0,50
68993,Technology,region_8,Master's & above,m,sourcing,1,35,2.0,8,0,77
45675,Analytics,region_30,Bachelor's,m,sourcing,1,33,5.0,3,0,85
22365,Operations,region_32,Master's & above,f,other,1,38,3.0,9,0,59
29387,Operations,region_2,Bachelor's,m,sourcing,2,28,3.0,2,0,60
16126,Procurement,region_2,Below Secondary,f,other,1,23,3.0,2,0,66
38272,Operations,region_15,Bachelor's,m,sourcing,1,48,3.0,6,0,58
7676,Procurement,region_2,Bachelor's,f,other,1,30,3.0,2,0,69
25418,Procurement,region_11,Bachelor's,f,sourcing,1,31,4.0,2,0,69
70028,Analytics,region_15,Bachelor's,m,sourcing,3,39,3.0,6,0,84
23966,Operations,region_20,Bachelor's,m,other,1,26,4.0,3,0,63
60326,Procurement,region_7,Bachelor's,m,other,1,32,4.0,7,0,67
23861,Sales & Marketing,region_6,Bachelor's,m,other,1,27,3.0,2,0,52
41050,Analytics,region_31,Bachelor's,m,other,1,27,5.0,4,0,82
75711,Sales & Marketing,region_4,Master's & above,f,sourcing,1,35,1.0,10,0,48
67236,Operations,region_26,,f,other,1,29,3.0,4,0,63
50120,Operations,region_2,Bachelor's,f,sourcing,1,60,5.0,34,0,62
57736,Operations,region_2,Below Secondary,f,sourcing,1,23,,1,0,54
45134,Procurement,region_7,Master's & above,f,sourcing,1,36,5.0,9,0,81
55363,Operations,region_22,Bachelor's,f,sourcing,1,32,5.0,7,0,65
34376,R&D,region_2,Master's & above,m,other,1,37,3.0,2,0,85
9818,Technology,region_15,Bachelor's,m,other,1,28,2.0,3,0,83
29030,Procurement,region_2,Bachelor's,f,other,1,58,4.0,25,0,65
19499,Analytics,region_33,Bachelor's,m,other,2,30,3.0,6,0,87
60305,Sales & Marketing,region_5,Master's & above,m,other,2,36,3.0,4,0,51
51168,Legal,region_7,Below Secondary,m,sourcing,1,28,3.0,2,0,59
40644,Procurement,region_15,Bachelor's,m,other,1,40,3.0,10,0,70
55322,Sales & Marketing,region_14,Bachelor's,m,other,1,46,3.0,6,0,47
15612,Procurement,region_7,Bachelor's,f,sourcing,1,30,2.0,4,0,68
30282,Procurement,region_4,Master's & above,m,other,1,50,5.0,15,0,84
235,Procurement,region_13,Master's & above,m,other,1,41,1.0,12,0,70
23248,Technology,region_13,Bachelor's,m,sourcing,1,30,1.0,5,0,79
72955,Operations,region_22,Bachelor's,m,sourcing,1,27,4.0,3,0,58
35466,Sales & Marketing,region_2,Master's & above,f,other,1,42,4.0,8,0,50
57652,Sales & Marketing,region_15,Bachelor's,m,other,1,36,5.0,10,0,50
66403,Operations,region_7,Master's & above,f,other,1,52,5.0,15,0,66
25111,Operations,region_4,Bachelor's,f,other,1,29,3.0,6,0,65
29332,Technology,region_22,Bachelor's,f,sourcing,1,23,,1,0,78
40598,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,35,1.0,6,0,47
22318,Sales & Marketing,region_26,,m,other,1,26,5.0,2,0,50
11607,Operations,region_15,Bachelor's,m,referred,1,38,5.0,10,0,62
48124,Finance,region_26,Bachelor's,m,other,1,27,,1,0,57
53926,Sales & Marketing,region_17,Bachelor's,m,other,2,33,4.0,7,0,63
59772,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,26,3.0,1,0,48
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,51
57953,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,49,4.0,8,0,46
77191,Operations,region_15,Master's & above,m,sourcing,1,51,4.0,5,0,65
51198,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,5.0,4,0,54
52942,Technology,region_7,Bachelor's,m,other,1,29,4.0,4,0,81
24974,HR,region_31,Bachelor's,f,other,1,34,5.0,7,0,50
64519,Analytics,region_29,Master's & above,m,sourcing,1,35,3.0,8,0,83
24722,Finance,region_26,Bachelor's,f,sourcing,1,31,1.0,6,0,61
57890,Operations,region_22,Bachelor's,f,other,1,38,5.0,4,0,53
10306,Procurement,region_22,Master's & above,m,other,1,32,4.0,3,0,65
52469,Legal,region_22,Below Secondary,m,sourcing,1,28,,1,0,60
31712,Sales & Marketing,region_2,Master's & above,m,sourcing,1,35,5.0,8,0,52
38769,Operations,region_13,Master's & above,f,sourcing,1,39,3.0,2,0,59
22417,Operations,region_22,Master's & above,f,sourcing,2,31,4.0,1,0,58
74198,Sales & Marketing,region_25,Bachelor's,m,other,1,31,4.0,6,0,58
47152,Sales & Marketing,region_26,Bachelor's,m,sourcing,2,27,3.0,3,0,55
69690,Analytics,region_8,Bachelor's,m,other,1,30,3.0,4,0,82
4810,Technology,region_7,Master's & above,m,other,2,33,3.0,10,0,78
62661,Legal,region_22,Bachelor's,m,other,1,29,3.0,2,0,64
64886,Technology,region_23,Master's & above,m,other,2,35,4.0,2,0,79
38825,Operations,region_22,Bachelor's,f,other,1,27,5.0,4,0,77
71302,HR,region_26,Bachelor's,m,other,1,29,1.0,5,0,50
34007,Procurement,region_17,Master's & above,f,sourcing,1,47,3.0,3,0,67
45138,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,37,3.0,4,0,52
309,Technology,region_20,Master's & above,m,other,1,42,3.0,5,0,79
1240,Operations,region_34,Bachelor's,m,other,1,33,1.0,6,0,58
65987,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,30,3.0,6,0,49
31401,Technology,region_27,Master's & above,m,other,1,36,3.0,8,0,82
76406,Sales & Marketing,region_31,Master's & above,m,sourcing,1,39,5.0,8,0,52
51539,Operations,region_7,Bachelor's,m,sourcing,1,37,4.0,3,0,61
71542,Technology,region_26,Bachelor's,f,sourcing,1,34,4.0,6,0,82
45938,Operations,region_31,Bachelor's,m,other,1,27,4.0,4,0,57
66932,Sales & Marketing,region_2,Bachelor's,m,other,2,37,3.0,3,0,47
5183,Sales & Marketing,region_7,Bachelor's,m,other,1,26,2.0,1,0,46
40632,Operations,region_22,Bachelor's,m,sourcing,1,33,3.0,7,1,66
74972,Operations,region_31,Bachelor's,f,other,1,30,4.0,5,0,58
60523,Operations,region_7,Master's & above,m,other,1,42,4.0,4,0,60
41433,Analytics,region_28,Bachelor's,m,sourcing,1,29,3.0,2,0,85
23463,Procurement,region_2,Master's & above,m,sourcing,1,40,5.0,5,0,67
67130,Procurement,region_7,Master's & above,f,sourcing,1,42,4.0,9,0,69
76018,Analytics,region_15,Bachelor's,m,other,1,32,2.0,5,0,85
13933,Sales & Marketing,region_21,Bachelor's,m,other,1,31,1.0,5,0,48
52645,Finance,region_2,Bachelor's,m,other,2,36,3.0,7,0,61
39054,Technology,region_31,Bachelor's,f,other,1,35,3.0,7,0,80
75008,Sales & Marketing,region_33,Master's & above,m,other,2,40,3.0,9,0,52
55900,Technology,region_27,Bachelor's,m,other,1,35,3.0,10,0,80
22660,Sales & Marketing,region_27,,m,sourcing,2,24,,1,0,47
46290,Operations,region_28,Bachelor's,m,other,1,39,4.0,7,0,60
43400,Procurement,region_16,Below Secondary,m,other,1,23,3.0,2,0,70
71067,Technology,region_22,Bachelor's,f,sourcing,1,27,4.0,2,0,81
9019,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,59,4.0,7,0,49
67069,Operations,region_2,Master's & above,f,other,1,60,2.0,10,0,59
66110,Procurement,region_26,Bachelor's,m,other,1,36,4.0,7,0,65
73850,Sales & Marketing,region_2,Master's & above,m,sourcing,1,35,3.0,6,1,50
4445,Operations,region_22,Bachelor's,f,sourcing,1,37,3.0,5,0,59
1665,Technology,region_28,Master's & above,m,other,1,31,3.0,4,0,82
25446,Sales & Marketing,region_7,Bachelor's,m,other,1,33,2.0,8,0,45
55936,Sales & Marketing,region_2,Master's & above,m,sourcing,1,35,2.0,7,0,48
3219,Operations,region_32,Bachelor's,f,sourcing,1,31,3.0,5,0,58
14761,Analytics,region_22,Bachelor's,m,other,3,33,5.0,6,0,85
8308,Operations,region_32,Bachelor's,m,other,1,41,5.0,6,0,57
70021,Procurement,region_23,Master's & above,m,other,1,36,3.0,7,0,71
24809,Procurement,region_2,Master's & above,f,other,2,46,3.0,18,0,65
38872,Operations,region_31,Bachelor's,f,other,1,30,5.0,2,0,59
19244,Operations,region_3,Master's & above,f,other,1,34,2.0,5,0,59
65910,Sales & Marketing,region_19,Bachelor's,m,sourcing,2,28,1.0,5,0,52
27248,Procurement,region_13,Bachelor's,m,sourcing,1,32,4.0,3,0,65
34734,HR,region_23,Bachelor's,m,sourcing,1,35,5.0,10,0,49
19266,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,44,3.0,7,0,55
25991,Operations,region_22,Master's & above,f,referred,2,34,5.0,7,0,57
76737,Sales & Marketing,region_25,Master's & above,m,other,1,36,3.0,9,0,63
52186,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,44,4.0,2,0,49
21368,Operations,region_8,Master's & above,m,other,1,40,2.0,15,0,61
62639,Analytics,region_22,Master's & above,m,other,1,36,2.0,3,0,86
58742,Operations,region_2,Bachelor's,m,sourcing,1,30,5.0,7,0,75
69326,Analytics,region_2,Master's & above,m,sourcing,2,52,3.0,20,0,81
68553,Operations,region_16,Bachelor's,f,sourcing,1,34,3.0,8,0,64
50214,Operations,region_27,Bachelor's,m,sourcing,1,34,3.0,3,0,54
3572,Procurement,region_2,Bachelor's,f,sourcing,1,36,5.0,5,1,72
3517,Sales & Marketing,region_4,Master's & above,f,other,1,39,5.0,11,0,43
61609,R&D,region_22,Bachelor's,m,other,5,30,1.0,2,0,85
16385,Technology,region_14,Bachelor's,m,sourcing,1,29,2.0,2,0,82
21488,Technology,region_2,Below Secondary,m,other,1,22,1.0,2,0,81
74057,Technology,region_20,Bachelor's,m,sourcing,1,31,5.0,6,0,78
71977,Sales & Marketing,region_28,Master's & above,m,other,3,32,1.0,5,0,52
70598,Procurement,region_7,Bachelor's,m,other,1,28,,1,0,69
66661,Finance,region_29,Master's & above,m,other,1,35,5.0,7,0,63
2834,Technology,region_2,Bachelor's,m,referred,1,30,4.0,4,0,79
74673,Analytics,region_2,Bachelor's,f,other,1,35,4.0,10,0,86
25243,Procurement,region_2,Master's & above,m,sourcing,1,48,4.0,18,0,67
56975,HR,region_2,Bachelor's,f,other,1,57,3.0,16,0,52
75682,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,32,1.0,8,0,52
74848,Sales & Marketing,region_12,Bachelor's,m,other,1,32,5.0,3,0,48
9935,Finance,region_6,Bachelor's,f,other,1,30,3.0,5,0,61
30095,Technology,region_11,Bachelor's,m,other,1,40,4.0,10,0,73
15783,Operations,region_2,Bachelor's,f,other,1,38,4.0,7,0,63
51245,Procurement,region_2,Bachelor's,f,other,2,59,4.0,31,0,70
39795,Finance,region_25,Bachelor's,m,sourcing,1,30,3.0,4,0,57
58385,Analytics,region_29,Bachelor's,m,other,1,37,4.0,12,0,85
39114,Procurement,region_22,Bachelor's,m,other,2,30,2.0,3,0,68
43934,HR,region_2,Master's & above,m,other,1,49,5.0,6,0,50
72739,Operations,region_22,Bachelor's,m,sourcing,3,33,5.0,3,0,57
43002,Finance,region_22,Bachelor's,m,sourcing,2,32,5.0,5,0,61
76928,Operations,region_2,Master's & above,m,other,1,40,1.0,9,0,60
36886,Analytics,region_8,Bachelor's,m,other,1,25,3.0,2,0,89
37833,Legal,region_22,Bachelor's,m,other,1,31,1.0,5,0,59
10493,Procurement,region_2,Bachelor's,m,other,1,33,2.0,7,0,68
26927,Analytics,region_22,Bachelor's,m,sourcing,1,28,3.0,4,0,85
69577,Operations,region_2,Bachelor's,m,other,1,39,4.0,3,0,74
61513,Procurement,region_2,Master's & above,f,referred,1,33,3.0,6,0,68
54852,Procurement,region_19,Bachelor's,m,other,1,44,3.0,7,0,69
53556,HR,region_4,Bachelor's,f,sourcing,1,27,5.0,4,0,53
12607,Operations,region_7,Bachelor's,m,other,1,32,4.0,6,0,58
32380,Analytics,region_5,Master's & above,m,sourcing,1,34,3.0,6,0,85
32682,Sales & Marketing,region_10,Master's & above,m,other,1,33,3.0,9,0,50
70669,Finance,region_26,Bachelor's,m,other,1,32,5.0,6,0,60
264,Operations,region_2,Master's & above,m,other,1,40,5.0,3,0,62
2309,Operations,region_2,Master's & above,m,other,1,48,3.0,6,0,61
35206,Sales & Marketing,region_7,Bachelor's,m,other,1,34,2.0,3,0,52
14678,Analytics,region_33,Bachelor's,m,sourcing,1,30,3.0,5,0,88
44060,Sales & Marketing,region_28,Master's & above,m,other,1,32,5.0,8,0,49
10535,Procurement,region_2,Bachelor's,f,other,1,38,5.0,3,0,67
37030,Operations,region_7,Bachelor's,m,sourcing,1,29,5.0,2,0,54
9655,Sales & Marketing,region_7,Bachelor's,f,sourcing,2,29,,1,0,46
26825,Technology,region_3,Master's & above,m,other,1,47,3.0,17,0,79
64042,Finance,region_22,Master's & above,f,sourcing,1,35,4.0,9,0,62
19158,Finance,region_28,Bachelor's,f,sourcing,1,28,4.0,2,0,58
66552,Procurement,region_13,Bachelor's,m,other,1,35,4.0,11,0,73
74417,Technology,region_2,Bachelor's,m,referred,1,39,3.0,5,0,85
13979,Sales & Marketing,region_16,Bachelor's,m,other,1,45,5.0,6,0,52
54728,Procurement,region_7,Bachelor's,m,sourcing,1,35,1.0,3,0,68
26118,Operations,region_12,Bachelor's,f,other,1,28,3.0,6,0,60
15112,Operations,region_2,Bachelor's,f,other,1,50,4.0,16,0,63
55275,Operations,region_2,Below Secondary,m,sourcing,1,26,5.0,3,0,60
67835,Sales & Marketing,region_2,Master's & above,m,sourcing,1,37,2.0,6,0,49
2036,Operations,region_11,Bachelor's,f,sourcing,1,37,5.0,6,0,58
16686,Sales & Marketing,region_26,Bachelor's,m,other,1,32,1.0,10,0,51
21108,Operations,region_13,Bachelor's,f,other,2,38,4.0,11,0,60
35504,Finance,region_2,Bachelor's,f,other,2,33,1.0,7,0,58
30299,Operations,region_15,Bachelor's,m,sourcing,1,32,4.0,5,0,61
44881,Analytics,region_2,Bachelor's,m,sourcing,4,33,4.0,4,0,83
28608,Technology,region_1,Bachelor's,f,other,1,26,3.0,4,0,78
31258,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,45,1.0,5,0,52
47907,Operations,region_24,Bachelor's,m,other,1,27,4.0,1,0,56
32494,Operations,region_8,Bachelor's,m,other,2,26,,1,0,56
64340,Operations,region_2,Bachelor's,f,sourcing,1,38,5.0,9,0,94
30968,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,30,,1,0,49
51205,Operations,region_31,Bachelor's,m,sourcing,1,25,3.0,2,0,57
24792,Operations,region_29,Bachelor's,f,other,1,28,,1,0,58
33045,Sales & Marketing,region_29,Bachelor's,f,other,1,26,1.0,3,0,51
47378,Sales & Marketing,region_29,Master's & above,m,sourcing,1,35,1.0,2,0,47
42945,Analytics,region_30,Bachelor's,m,sourcing,2,29,4.0,3,0,82
70188,R&D,region_2,Master's & above,m,other,1,36,4.0,9,0,81
49328,Operations,region_7,Master's & above,m,sourcing,1,40,3.0,3,0,61
60758,Procurement,region_22,Master's & above,m,sourcing,1,35,3.0,5,0,72
55460,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,46,2.0,7,0,47
54776,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,48,1.0,15,0,48
45420,Operations,region_7,Bachelor's,f,other,1,42,5.0,7,0,66
12820,Operations,region_10,Bachelor's,m,sourcing,1,35,3.0,9,0,61
57388,Operations,region_14,Bachelor's,m,sourcing,1,41,4.0,8,0,61
9536,HR,region_26,Master's & above,m,other,1,32,3.0,9,0,56
52633,Operations,region_22,Bachelor's,f,sourcing,1,30,3.0,2,0,61
34916,Operations,region_15,Bachelor's,f,other,3,38,5.0,3,0,61
11474,Procurement,region_17,Bachelor's,f,other,1,36,4.0,8,0,70
39529,Sales & Marketing,region_7,Master's & above,m,other,1,48,4.0,7,0,52
16656,Sales & Marketing,region_2,Master's & above,f,other,2,44,3.0,13,0,60
71416,Sales & Marketing,region_22,Bachelor's,m,other,1,32,1.0,9,0,52
3138,Operations,region_2,Bachelor's,m,sourcing,1,42,5.0,15,0,59
9874,Procurement,region_17,Bachelor's,f,sourcing,2,46,5.0,9,0,71
32378,Technology,region_13,Master's & above,f,other,1,43,4.0,6,0,81
21508,Technology,region_26,Bachelor's,m,sourcing,1,37,3.0,5,0,84
39243,Analytics,region_14,Bachelor's,m,sourcing,1,36,4.0,3,0,84
23440,Sales & Marketing,region_22,Bachelor's,f,other,2,28,1.0,8,0,58
8966,Operations,region_15,Master's & above,f,other,1,32,3.0,3,0,58
63990,Analytics,region_2,Bachelor's,m,sourcing,1,32,5.0,7,0,85
67491,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,20,,1,0,43
55076,Legal,region_7,Bachelor's,m,other,1,34,3.0,5,0,59
